Viabilidad,Aportaciones,Duracion,Historia,Tipo,Sueldo,Ahorro,Antiguedad,Porcentaje,EdoCivil,Aval,Residencia,Seguro,Edad,Adeudos,Vivienda,otraPension,tipoAfiliado,Dependientes,Ley,Foraneo
1,0,13,2,1,3341.54,0,1,80,1,1,11,0,50,1,1,0,1,2,0,1
0,1,29,1,1,17728.95,0,1,68,0,0,19,0,57,1,0,0,0,0,0,0
0,1,26,2,2,4086.27,0,1,62,1,0,29,0,64,1,0,1,2,1,0,0
1,0,17,2,2,9547.08,1,1,53,0,0,5,0,53,1,1,1,2,3,0,0
1,1,29,0,2,4086.27,1,1,64,1,0,25,0,52,1,0,1,3,0,0,1
0,2,25,0,1,36059.60,1,0,85,1,1,18,0,49,1,0,0,1,2,1,1
0,2,23,0,2,9767.40,1,0,76,0,1,28,1,59,1,1,0,1,2,0,0
0,0,4,2,1,6586.20,0,0,76,0,0,25,1,54,1,1,0,1,3,1,0
0,2,28,1,2,3729.00,1,1,100,1,1,10,1,66,1,0,1,1,0,1,0
0,0,22,0,1,9903.33,0,1,93,1,0,11,0,69,0,0,0,1,1,0,1
1,2,5,0,1,2401.20,0,1,97,1,1,18,1,52,0,0,1,2,1,1,1
1,2,3,2,2,3625.84,0,0,50,0,1,26,0,65,0,1,1,1,0,1,1
1,0,23,1,0,3348.19,0,0,71,1,0,16,1,55,1,0,1,4,2,1,1
1,2,20,2,2,4696.35,0,1,94,1,0,28,1,52,0,0,0,1,1,0,0
0,2,20,2,2,9903.33,1,0,68,0,1,10,0,56,1,0,0,1,1,1,0
0,2,7,2,2,10094.00,0,1,96,1,0,18,0,63,0,0,1,0,3,0,1
1,1,3,1,2,10500.00,0,0,74,1,1,16,0,58,1,1,1,1,0,0,1
1,1,22,1,0,5885.69,1,1,72,1,1,19,1,67,0,1,1,0,1,1,0
1,0,22,2,1,4324.58,1,0,87,0,1,15,1,57,0,0,1,4,2,1,0
1,2,11,0,0,8929.72,1,0,82,1,0,22,0,61,1,0,0,2,2,1,0
1,0,3,1,1,23101.65,1,0,99,1,1,14,0,50,1,1,1,0,1,0,0
0,2,7,0,2,3245.14,1,1,98,1,0,30,0,64,0,1,0,2,2,0,0
1,0,27,0,1,3498.83,0,0,76,1,1,29,1,68,0,1,1,4,3,1,1
1,2,16,1,2,3341.54,1,1,63,1,1,14,0,62,0,0,0,2,1,0,0
1,0,2,1,0,4145.14,1,1,88,0,1,18,1,66,1,1,0,1,2,1,0
0,0,6,1,0,3341.54,1,0,89,0,0,22,1,56,1,1,1,1,2,0,0
1,2,23,2,2,5347.20,1,0,65,1,0,20,0,52,0,1,1,3,1,1,1
0,2,7,2,0,5962.83,0,0,80,1,1,16,0,59,0,0,1,0,3,0,0
1,0,6,0,2,4184.10,1,1,80,1,0,18,0,68,1,0,0,2,0,0,0
0,1,24,0,1,5421.26,1,0,68,0,0,21,0,67,0,1,1,2,3,1,1
0,1,20,2,0,4324.58,0,0,97,0,0,26,1,54,0,0,1,1,0,0,0
0,1,1,1,0,8192.64,0,1,64,1,0,9,1,52,0,1,0,0,0,0,0
1,2,25,0,1,7572.15,0,1,81,0,0,24,0,64,1,1,1,3,0,0,0
1,2,21,2,2,5133.40,0,1,72,1,1,16,1,58,0,0,0,3,0,1,0
1,0,28,2,1,7572.15,0,0,72,0,1,10,1,66,1,0,0,0,0,1,1
1,2,19,1,0,2996.88,0,0,64,0,1,6,0,56,0,1,1,1,3,1,0
1,1,18,0,2,4145.14,1,0,85,1,1,29,1,49,1,0,1,3,2,1,0
1,0,28,2,2,7572.15,0,0,62,1,1,23,0,49,1,0,1,0,1,0,0
1,0,6,0,0,8192.64,0,0,97,1,0,27,0,65,0,1,0,4,1,1,0
0,2,28,0,2,9720.19,1,0,95,1,0,8,0,51,1,1,1,1,1,0,1
0,1,10,0,1,5421.26,0,1,94,1,0,13,1,49,1,1,0,1,1,0,1
1,2,13,1,0,9999.00,1,0,88,0,1,12,1,66,0,1,1,1,2,1,0
0,1,16,1,1,8689.20,0,1,67,2,0,6,0,63,1,0,0,4,2,0,0
1,0,6,0,0,5041.89,0,1,55,0,1,10,0,66,0,0,0,2,2,1,0
0,2,14,2,2,5282.81,0,0,69,0,0,8,0,66,0,0,0,1,3,0,1
1,0,13,2,0,10303.53,0,1,78,0,1,9,0,59,1,0,0,0,2,0,1
1,1,21,1,0,4066.72,1,0,61,1,1,24,0,69,1,0,0,1,0,0,0
0,1,22,1,1,3341.54,0,0,62,1,1,29,0,67,1,0,1,1,3,0,1
1,2,13,1,1,32176.32,1,1,51,1,0,17,0,52,1,0,1,0,1,0,0
0,2,25,2,2,3341.54,0,1,60,1,1,6,0,58,0,1,0,0,3,0,0
1,1,8,1,0,5041.89,1,1,91,0,0,10,1,52,1,0,1,0,2,0,0
0,0,24,0,0,9903.33,1,1,65,0,0,18,0,53,1,0,0,1,2,0,1
1,0,24,2,0,7024.16,0,0,76,0,1,29,1,61,0,1,0,1,3,1,0
0,1,23,1,0,8929.72,1,1,98,1,0,12,1,63,1,0,1,1,3,1,0
1,2,28,2,1,24000.00,1,0,71,1,0,7,0,67,1,0,0,4,0,0,0
0,2,5,0,2,46861.11,1,0,61,1,0,26,1,54,0,1,0,0,1,0,0
0,0,15,1,0,5919.32,1,0,83,1,0,30,1,58,1,1,0,4,3,1,0
1,1,23,2,0,3939.75,1,0,68,1,1,27,0,68,0,0,0,2,1,1,0
1,0,17,0,0,3245.14,0,1,83,0,1,14,1,57,0,0,0,1,2,1,0
1,1,18,1,1,5962.83,0,1,83,0,1,21,1,54,1,1,1,2,0,1,1
0,0,29,1,1,4086.27,0,0,53,0,0,15,1,57,0,0,0,3,0,1,0
0,2,15,0,0,13386.54,1,0,91,0,1,30,1,54,0,1,1,0,0,0,0
1,1,30,1,1,4023.03,0,0,89,2,1,10,1,64,0,1,0,0,2,0,0
0,1,27,0,2,9406.50,0,1,68,1,0,26,0,58,1,1,1,3,3,0,0
1,1,28,1,0,5041.89,0,0,65,1,0,11,0,50,0,1,1,4,0,1,0
0,2,30,0,1,4086.27,1,0,76,1,0,19,1,62,0,0,1,4,0,1,0
0,2,24,1,0,5515.65,1,1,79,0,1,25,1,61,1,1,1,3,1,0,0
1,0,21,2,1,9999.00,0,0,61,1,0,12,1,59,1,0,0,4,1,0,0
1,2,14,0,1,9999.00,0,1,63,1,0,8,0,59,1,1,1,0,3,0,0
0,0,13,0,0,9999.00,0,0,65,1,0,28,0,53,0,1,0,0,2,1,1
1,2,20,1,2,4145.14,1,1,59,1,1,20,1,53,0,1,1,1,3,0,1
1,2,3,2,1,4047.81,0,1,54,1,1,15,0,54,1,0,0,1,1,0,1
0,2,7,1,2,4206.01,0,0,81,1,1,10,0,51,0,1,1,4,1,1,1
1,1,3,0,0,5453.25,0,1,61,0,1,6,0,54,1,0,0,4,3,0,1
0,0,27,2,0,23519.31,1,1,53,1,0,5,1,66,1,0,0,0,2,0,1
1,0,22,2,2,5453.25,0,1,77,0,1,27,0,68,0,0,1,4,2,0,0
0,2,3,2,2,2724.60,0,1,59,1,1,19,0,60,0,0,1,1,2,1,0
0,0,3,0,0,4456.16,1,1,71,1,1,15,0,66,1,1,1,1,3,0,1
0,0,23,1,0,4023.03,0,0,79,1,1,24,1,67,0,1,1,3,0,1,1
0,1,15,2,1,2401.20,1,0,87,1,0,27,1,55,1,1,1,1,3,0,1
0,0,20,1,0,5013.00,0,0,78,0,0,26,0,54,0,0,1,1,3,1,0
0,2,15,0,0,3068.40,0,1,87,1,0,28,1,55,1,1,0,3,2,1,0
0,1,5,1,0,7572.15,0,0,88,1,0,18,0,69,1,1,1,2,3,0,1
1,2,22,2,0,2401.64,0,1,55,0,1,14,1,52,0,0,0,1,3,0,1
0,0,28,0,1,5276.78,1,1,51,1,1,7,1,65,0,0,1,0,3,1,1
1,0,6,2,2,11687.70,0,0,65,1,0,11,1,54,1,1,0,3,3,0,1
0,0,21,0,1,5195.97,0,0,81,1,1,25,0,65,1,1,0,3,3,0,1
0,1,23,0,2,8929.72,0,1,75,1,0,24,1,49,0,1,0,3,1,1,0
1,0,28,1,0,8192.64,1,0,66,0,0,14,1,67,0,1,1,0,2,0,1
0,2,24,1,1,7882.79,1,1,52,0,0,21,1,49,0,0,0,1,0,1,1
0,2,16,0,2,3625.84,1,1,100,1,0,10,1,55,0,0,0,4,0,1,1
0,2,19,1,1,5041.89,1,1,64,1,1,19,0,54,1,0,0,2,0,1,1
0,2,18,2,0,12150.90,1,0,62,1,0,19,0,65,0,0,1,1,3,1,1
1,2,12,0,2,2401.20,1,1,83,1,0,20,0,61,1,0,1,1,2,0,0
1,0,27,2,1,7289.00,0,0,54,0,1,9,1,58,0,0,0,3,0,1,1
0,0,23,0,1,6251.69,1,0,90,1,0,19,0,61,0,1,1,0,3,0,1
0,2,26,2,1,7572.15,1,0,97,3,1,13,0,55,0,0,1,1,3,0,0
1,2,5,0,2,4105.58,1,0,50,1,1,26,0,67,1,0,0,0,1,0,1
1,1,29,1,2,7903.53,0,0,92,0,1,22,0,66,1,0,1,2,3,0,1
1,0,4,1,2,9999.00,0,1,94,0,0,24,0,52,0,1,0,0,2,0,0
1,0,8,1,0,10500.00,0,1,76,0,1,5,0,53,0,1,1,2,2,0,0
0,0,21,2,2,4206.01,0,1,62,1,1,13,0,56,0,0,1,3,1,0,1
0,1,21,2,0,11475.00,0,1,95,0,1,14,1,60,1,0,0,4,1,0,0
0,0,6,0,0,2401.20,0,1,92,1,0,29,0,66,0,0,1,3,0,0,0
1,1,28,2,1,14509.78,0,1,53,1,1,28,0,49,1,1,0,0,3,1,0
1,2,28,2,1,6941.10,0,1,62,0,0,28,0,64,1,0,0,2,2,0,1
1,2,17,2,2,9999.00,1,0,99,0,0,9,1,54,1,1,1,3,3,1,1
1,1,6,0,1,9322.50,0,0,54,1,0,15,1,59,1,0,0,3,2,0,1
0,2,6,2,1,4023.03,0,0,80,1,1,29,1,65,0,1,1,3,2,0,1
0,1,1,0,2,4962.36,0,0,51,1,0,25,1,61,1,0,1,0,2,1,1
1,0,27,0,0,10649.38,1,1,63,1,0,5,1,53,1,0,0,3,1,0,1
0,1,15,2,1,4421.37,1,1,90,1,0,30,1,55,1,0,0,1,0,0,0
0,1,26,1,2,3245.14,0,1,81,2,1,17,0,55,0,0,1,3,3,1,1
0,2,27,0,0,7009.42,0,0,76,1,1,11,0,64,0,1,0,0,3,1,0
0,2,16,1,2,4780.17,1,0,72,1,0,5,0,61,0,1,1,2,3,0,0
0,2,11,2,2,10649.38,0,1,97,1,0,21,0,53,1,1,0,0,3,0,1
1,1,1,0,0,8039.00,0,1,69,1,0,26,0,59,1,1,0,1,1,1,1
0,1,4,1,0,9662.83,1,0,93,1,0,13,0,54,1,0,0,2,1,0,1
1,2,10,1,1,4086.27,0,1,91,0,0,24,1,57,1,1,1,0,2,0,1
0,0,3,0,2,3407.85,0,0,50,0,1,28,1,69,0,0,0,0,3,0,1
1,1,18,0,1,4456.16,0,0,85,2,0,27,1,66,1,0,1,1,1,1,0
1,2,10,0,1,6406.50,1,0,78,1,1,5,1,50,0,0,0,3,3,1,1
0,0,4,2,2,7572.15,1,0,80,0,0,5,0,62,1,1,0,3,1,1,0
0,1,22,2,0,13348.50,0,1,59,1,0,22,1,69,1,1,0,4,3,1,0
0,0,26,1,0,3878.75,0,0,88,1,0,20,1,64,0,1,0,3,0,1,1
0,1,13,2,0,9662.83,1,0,81,1,1,7,0,52,0,1,1,2,2,0,0
0,0,2,0,0,6251.69,0,1,60,0,1,11,0,67,1,0,0,0,2,1,1
0,2,19,2,0,11124.00,0,0,51,0,0,6,1,49,0,1,1,3,2,1,1
1,0,10,0,0,6625.67,0,1,83,1,0,11,0,62,0,1,1,4,1,0,0
0,1,11,2,0,11218.80,0,1,69,1,1,21,0,64,1,0,1,3,2,1,1
1,2,26,1,2,3087.90,1,0,56,1,1,5,1,54,1,0,1,4,0,1,1
0,2,22,2,1,3308.10,1,0,61,3,1,11,0,61,1,1,1,3,3,0,0
1,0,26,2,1,96198.00,1,1,60,1,1,23,1,52,0,0,1,0,0,0,0
1,0,26,1,0,4047.81,1,0,51,1,0,22,0,65,0,0,0,1,3,0,1
0,2,23,0,1,8039.00,1,0,62,0,0,25,0,57,0,0,1,4,0,0,1
1,2,16,1,1,5042.78,1,1,51,0,0,17,1,50,0,1,1,1,2,0,1
1,2,27,1,2,5083.94,1,0,84,0,1,5,1,69,1,0,1,0,1,1,0
0,0,26,2,1,9662.83,1,0,64,1,1,9,0,59,1,0,1,0,1,0,0
0,1,29,0,1,7170.00,0,0,77,0,0,27,1,56,1,0,1,4,3,0,0
0,0,7,2,2,7572.15,0,1,68,0,0,10,1,52,1,1,1,3,1,1,0
0,2,15,2,2,5041.89,0,0,97,0,0,9,0,67,0,1,0,4,1,0,0
0,2,3,2,0,7572.15,1,0,87,1,1,12,0,55,0,0,1,4,2,1,0
1,1,10,2,0,3337.16,0,1,74,1,0,21,1,51,0,0,1,2,2,1,0
0,0,4,0,1,4456.16,1,0,61,1,1,8,1,51,0,0,1,4,1,0,0
1,0,11,0,0,4188.30,1,0,87,0,1,24,1,69,0,0,0,3,1,0,1
0,2,26,0,0,11383.08,0,0,69,1,1,26,0,64,1,0,1,3,3,1,1
1,2,22,0,1,14473.00,0,1,91,1,1,6,0,59,0,0,1,0,0,0,0
1,0,20,2,0,4054.20,1,0,87,1,1,23,1,56,1,0,0,1,1,1,0
1,2,29,0,1,3393.38,1,0,65,1,0,17,0,63,0,1,0,0,0,0,0
0,2,19,2,2,3377.48,1,1,83,0,1,25,1,65,1,0,0,0,2,0,1
1,2,20,1,0,2401.20,1,0,91,0,1,19,1,56,0,1,0,2,3,1,0
1,2,10,1,0,4488.12,0,0,86,1,1,13,0,66,0,0,1,3,0,1,0
1,0,25,1,1,5744.54,0,1,79,1,0,28,1,58,1,0,0,4,2,1,0
0,1,20,1,2,5208.00,0,0,87,0,0,25,1,69,0,1,0,0,1,0,1
1,0,27,0,1,4023.03,0,1,51,1,1,6,0,54,1,0,0,1,0,0,0
0,0,22,0,0,8192.64,0,0,95,0,0,10,0,64,1,1,0,1,3,1,0
1,2,3,1,2,8192.64,0,0,65,1,1,22,0,56,0,1,0,2,1,0,1
1,1,20,2,2,8192.64,1,1,69,0,1,25,1,60,1,1,0,0,2,1,1
1,1,21,2,1,8039.00,1,0,76,0,0,17,0,69,1,1,1,2,3,0,0
1,2,15,0,0,11440.13,1,0,64,1,0,24,1,57,1,0,1,4,0,0,0
1,1,15,2,1,15454.92,1,1,70,0,0,22,0,49,1,0,0,0,2,0,1
1,1,24,1,0,14264.10,0,1,58,1,1,17,0,60,1,1,1,0,3,1,0
1,1,25,0,0,9999.00,1,1,90,1,1,7,1,61,0,0,0,3,2,1,0
0,0,6,0,1,17764.87,0,0,58,1,1,10,0,65,1,0,0,0,2,1,1
1,2,3,2,0,4324.58,0,1,82,1,0,21,0,50,1,0,1,3,1,0,1
0,1,19,2,2,4023.03,0,0,59,0,1,8,1,63,1,1,1,2,0,1,0
0,1,5,2,0,4023.03,0,1,56,1,1,26,0,67,1,0,1,2,0,1,0
1,2,2,2,0,4324.58,0,0,88,0,0,13,0,55,0,0,1,4,2,0,0
1,1,25,1,0,4821.72,1,0,54,1,1,22,1,62,1,1,1,2,0,1,1
0,0,19,2,0,4023.03,1,0,66,1,0,20,1,55,1,0,0,3,1,1,0
1,1,6,2,1,5453.25,0,0,52,1,1,27,1,54,0,0,0,4,2,0,1
0,1,3,1,2,2484.90,1,1,63,0,0,26,1,69,1,1,0,0,2,1,0
1,1,8,0,1,5301.57,0,1,69,1,1,23,1,55,1,0,0,2,3,1,0
0,0,10,1,0,9999.00,0,0,71,0,1,23,0,51,1,1,0,3,0,0,0
0,2,1,0,2,2995.64,0,0,65,1,1,5,0,50,1,0,1,2,2,1,0
1,0,5,0,2,4269.00,1,0,78,0,1,12,1,56,1,0,0,4,1,1,0
0,1,28,0,2,4066.72,1,0,87,1,1,29,1,56,1,1,0,4,0,1,1
1,2,16,0,2,7097.65,1,0,85,0,1,12,1,67,0,1,1,4,1,1,0
0,1,22,1,1,5041.89,0,0,91,1,1,26,0,55,1,1,1,3,0,0,0
1,0,10,0,1,5609.64,1,1,80,1,0,21,1,64,0,1,0,3,1,0,0
0,1,11,2,1,4145.14,0,1,82,1,0,21,1,57,1,1,1,3,1,0,1
0,0,19,1,1,3498.83,0,0,81,1,0,29,0,68,0,0,1,4,1,0,0
0,2,19,2,2,5885.69,1,1,51,0,1,22,1,61,1,0,1,2,3,1,1
0,2,16,2,0,16200.00,0,1,65,0,1,19,0,63,0,1,0,2,2,0,1
0,0,10,1,0,7170.00,0,1,70,1,0,24,0,52,1,0,1,4,1,0,1
1,2,15,1,0,5609.64,0,0,77,1,0,30,0,65,0,0,0,1,2,1,1
1,1,15,0,2,7572.15,0,1,98,0,1,23,0,55,1,0,0,1,2,1,1
1,2,20,1,0,4680.60,0,1,95,0,1,24,1,51,0,1,0,4,1,1,1
1,2,11,0,2,4780.17,0,1,86,1,1,29,1,57,0,1,0,1,3,0,1
1,2,16,0,0,12469.40,1,0,87,3,1,15,1,68,0,0,1,1,1,0,1
0,0,17,2,2,2414.79,0,0,96,1,0,23,0,63,0,1,0,1,2,0,1
0,2,13,2,2,5215.96,0,1,70,1,1,11,1,62,1,1,0,3,0,1,1
0,0,13,1,1,4066.72,0,0,73,1,1,19,1,58,0,0,0,4,2,0,0
0,0,1,0,1,11440.13,0,1,81,0,1,6,1,59,1,1,1,3,3,0,1
1,0,4,2,2,3308.10,0,1,85,2,0,12,0,61,0,0,1,1,0,1,1
1,0,15,2,2,10649.38,0,0,71,1,1,13,1,51,0,1,1,2,2,0,1
0,2,5,1,0,4184.10,0,1,63,1,0,28,1,61,0,0,1,4,3,1,0
1,0,9,2,1,5515.65,0,0,56,1,0,15,1,53,0,0,1,4,0,0,0
1,1,30,0,2,13355.44,1,0,83,1,1,29,0,61,1,1,0,0,3,0,0
1,0,15,0,2,9786.54,0,1,66,1,1,22,0,62,0,0,1,0,1,1,1
0,2,4,1,0,9662.83,1,0,64,0,0,15,0,54,0,0,1,1,2,1,1
0,0,8,0,1,5609.64,0,1,98,0,0,14,0,69,1,1,1,4,0,0,1
0,0,12,2,0,8814.00,0,0,63,0,0,19,1,56,0,1,0,0,2,1,1
0,1,9,0,1,3625.84,0,0,96,1,0,17,0,51,0,1,0,0,0,1,1
1,0,23,2,2,3348.19,1,0,73,0,1,12,0,57,0,1,0,3,0,1,0
1,0,18,2,2,5289.55,0,0,78,0,0,19,0,49,1,1,0,2,0,1,0
0,0,25,0,0,5471.24,0,1,61,1,0,25,1,51,0,0,0,2,1,1,0
1,0,30,1,1,6369.60,1,1,99,1,0,23,1,64,0,0,1,3,2,0,1
1,1,19,1,0,4816.80,1,0,94,0,0,23,0,53,1,0,0,4,1,0,1
0,1,13,0,0,17289.31,1,1,95,1,0,20,1,63,0,1,1,1,3,1,1
1,1,29,0,1,6251.69,0,1,50,1,0,17,1,66,0,0,0,2,2,1,1
1,2,21,2,1,6251.69,1,1,75,1,1,27,1,60,0,1,0,0,2,1,1
0,0,5,0,0,9999.00,1,0,82,1,0,7,1,54,0,1,1,1,3,0,0
1,2,27,2,1,3245.14,1,1,81,0,0,25,1,54,0,1,1,1,2,1,1
0,1,18,0,1,8689.20,1,0,98,0,1,15,1,52,0,0,1,1,0,0,1
0,1,20,2,2,28216.80,0,1,78,1,1,13,1,61,1,1,0,2,3,0,1
1,1,3,1,2,4324.58,1,0,90,2,0,16,0,54,1,1,0,2,2,1,1
0,2,15,2,1,5421.28,1,1,79,1,1,8,0,63,0,1,0,0,2,0,1
0,1,22,0,2,7572.15,0,1,87,0,1,12,1,54,1,1,1,4,1,0,0
0,1,10,0,1,9720.19,0,0,82,1,1,11,1,65,1,0,0,2,3,1,0
0,0,6,1,1,4145.14,0,1,78,1,1,5,1,50,0,0,0,0,2,1,1
0,2,1,0,1,5609.64,0,1,98,0,1,21,0,57,1,1,1,4,1,0,1
1,1,19,1,0,4213.50,1,1,63,1,0,10,1,62,1,1,0,4,3,1,0
0,2,15,0,0,10013.24,1,1,90,1,1,27,1,59,1,1,0,3,1,0,0
1,1,23,2,1,3673.78,0,0,98,1,0,25,0,59,0,1,1,0,1,0,1
1,1,19,1,1,4816.80,0,1,68,1,1,18,0,61,1,0,0,3,1,1,0
0,0,6,2,0,3245.14,1,0,99,1,0,22,1,52,1,1,1,1,0,0,0
0,2,21,0,2,2401.20,0,0,72,1,1,16,0,49,1,1,0,2,3,1,1
0,0,21,0,1,5041.89,0,1,60,0,1,26,1,55,0,0,0,4,0,1,0
1,1,8,1,0,9903.33,1,1,62,1,1,15,1,62,0,1,0,1,2,1,1
1,2,16,0,0,10303.53,1,0,61,1,1,6,0,54,0,0,0,2,3,0,0
0,2,5,2,0,9903.33,0,0,78,1,1,24,1,55,0,1,0,2,0,1,1
0,1,15,2,2,3673.78,1,0,100,0,0,16,0,53,1,0,1,4,0,0,0
1,0,30,2,0,2476.20,0,0,51,0,1,30,0,66,0,0,1,2,3,0,1
1,1,26,1,1,5347.20,0,0,60,0,0,25,1,55,1,1,0,2,2,0,0
1,0,17,2,1,5041.89,0,1,82,1,0,16,0,68,0,0,1,0,0,1,0
1,1,28,0,1,8814.00,0,1,85,1,1,11,1,67,0,0,1,1,2,0,0
1,2,2,2,1,10388.10,1,1,57,1,1,5,1,59,0,0,1,1,0,0,0
0,0,30,2,1,5289.55,0,1,84,1,0,20,1,68,1,1,0,1,3,0,0
1,0,30,2,1,20605.20,0,1,51,1,1,13,0,68,1,0,0,0,3,1,1
0,2,21,2,1,4066.72,1,0,77,1,0,19,1,63,1,0,0,3,0,1,1
0,2,8,0,1,4023.03,0,1,69,1,1,13,0,54,1,1,0,0,3,0,1
0,2,11,1,1,4456.16,0,1,74,1,0,18,1,63,1,0,1,1,2,1,1
1,0,30,2,0,5083.94,0,1,57,1,1,6,0,63,1,0,1,3,3,1,1
1,1,12,1,0,8192.64,1,0,57,1,0,8,1,60,0,1,0,4,1,0,1
1,0,8,2,0,7246.50,0,0,63,1,0,9,1,59,0,1,1,2,3,1,1
0,1,4,2,0,7572.15,1,1,56,0,0,13,1,56,0,1,0,3,1,1,1
0,2,26,2,2,4412.83,1,1,76,0,0,17,0,53,0,0,0,4,1,1,0
0,0,14,1,1,5083.94,0,1,57,1,0,7,0,63,0,1,0,2,2,1,1
1,2,8,0,1,4023.03,1,1,95,0,0,21,1,61,0,1,1,2,0,1,1
0,0,11,2,1,10303.53,1,1,81,1,0,8,1,68,1,0,0,1,0,1,0
1,1,15,1,2,7572.15,0,1,68,1,0,29,0,67,1,1,0,4,3,0,0
1,0,30,2,2,5885.69,1,0,67,0,1,19,0,68,0,0,0,1,3,0,0
1,1,9,2,0,5133.40,1,0,66,0,1,5,0,50,0,1,0,1,1,1,0
1,2,21,0,2,4206.01,1,1,66,1,1,26,1,51,0,0,1,0,0,1,1
1,0,26,0,2,9999.00,0,1,99,0,1,7,1,62,1,1,0,0,0,0,0
0,2,17,1,1,5083.94,1,1,55,1,1,13,0,68,1,0,0,2,0,0,0
1,2,11,0,0,4184.10,0,1,88,0,1,26,1,57,1,1,0,2,0,1,0
1,1,7,1,0,11566.80,1,0,63,1,1,29,1,51,1,1,0,0,0,0,0
1,2,6,0,0,11475.00,1,0,81,0,0,18,1,54,1,0,0,4,2,1,1
0,1,28,1,0,6251.69,0,1,84,0,1,25,1,65,0,0,0,1,2,1,1
1,2,6,2,2,5421.26,1,0,88,0,0,5,1,67,0,0,1,3,2,0,0
0,0,21,1,1,7638.13,0,1,99,1,0,18,0,52,1,1,0,4,3,0,0
1,1,15,2,0,4456.16,1,1,88,1,1,6,0,68,0,1,1,2,0,0,0
0,1,30,1,2,4780.17,1,1,68,0,0,20,0,56,1,1,0,2,1,1,1
0,0,21,1,2,6625.67,0,1,88,1,1,10,1,67,0,1,1,4,2,0,0
1,0,15,0,0,7572.15,1,1,84,1,1,23,0,56,1,0,0,3,3,0,0
1,1,18,1,2,7572.15,0,1,71,1,0,7,1,62,1,1,1,1,1,0,1
0,1,26,0,1,9662.83,0,1,57,1,0,28,1,52,1,0,0,1,3,0,1
1,2,25,0,1,8929.72,0,0,65,0,1,8,0,64,1,0,0,3,0,1,1
0,1,27,2,2,7572.15,0,1,87,1,0,14,1,63,0,0,1,2,2,0,0
1,0,10,1,1,7572.15,1,1,77,0,1,22,0,57,0,1,0,1,1,1,1
0,1,12,1,0,7572.15,1,0,58,1,1,11,0,56,0,1,0,1,0,1,0
1,2,18,0,0,3393.38,1,0,81,0,1,12,1,67,0,0,0,1,1,0,1
0,0,14,1,2,7170.00,1,1,65,1,1,29,1,66,0,1,0,4,2,1,0
1,2,17,1,2,4066.72,1,1,66,1,0,9,1,59,0,1,1,2,1,1,1
1,2,3,0,0,4066.72,0,0,78,0,1,18,1,61,1,1,0,4,1,1,0
0,2,20,2,0,4023.03,0,0,66,0,1,17,0,56,1,1,0,3,1,0,0
1,0,17,0,0,9999.00,0,0,55,0,0,16,0,53,1,1,0,1,1,0,0
0,0,20,1,2,13098.00,0,0,54,1,0,23,1,60,0,0,0,2,0,1,0
1,0,15,2,2,9999.00,1,0,70,1,0,12,1,63,1,1,1,0,2,0,0
0,1,13,1,2,4780.17,0,1,58,1,1,23,1,54,0,1,0,0,2,1,1
1,2,25,2,2,7882.79,0,0,94,1,1,14,1,61,0,1,0,2,1,0,0
0,0,18,0,1,4023.03,1,1,69,1,1,7,1,67,0,1,0,3,1,1,0
1,1,29,1,2,6251.69,0,0,52,0,0,30,1,58,0,0,0,4,2,0,0
0,0,28,2,0,4780.17,0,1,58,0,0,19,1,55,1,1,1,2,0,1,1
0,1,19,0,2,4059.66,1,1,100,3,0,22,0,60,1,1,0,4,0,0,0
0,2,15,0,0,13552.35,0,1,96,1,1,23,1,65,1,0,1,0,0,1,0
1,0,20,2,1,7097.65,0,1,72,0,0,18,0,62,0,1,1,1,2,0,0
1,1,13,1,0,12156.23,0,1,69,1,1,10,0,61,0,1,1,4,3,0,1
1,1,28,2,1,4780.17,0,0,59,0,0,21,1,49,0,1,0,1,3,1,1
1,0,13,2,2,7572.15,0,0,82,1,0,16,0,51,1,0,1,0,2,0,1
0,0,6,1,1,7572.15,0,1,74,0,1,8,0,56,1,1,1,3,0,1,1
1,2,22,2,2,7572.15,0,1,75,0,1,15,0,52,0,1,1,4,0,1,0
0,1,18,1,2,12350.84,0,0,80,1,1,16,1,61,1,0,1,1,0,0,1
1,2,12,1,1,8192.64,1,1,64,0,1,10,1,58,1,0,0,4,0,1,1
0,1,22,2,0,6251.69,1,0,80,1,1,22,0,51,1,1,1,4,3,0,1
1,2,18,1,2,4184.10,1,0,80,1,0,10,1,60,1,1,0,1,1,0,1
1,0,17,1,1,3308.10,0,0,64,0,0,6,0,56,0,1,1,4,2,0,1
1,0,27,2,0,4066.72,0,1,92,0,1,12,1,64,0,0,0,1,0,0,1
1,2,21,2,1,9531.90,1,0,77,1,0,14,0,52,0,0,0,3,1,0,0
1,0,29,1,2,9662.83,1,0,53,1,1,28,0,57,0,0,0,4,1,0,0
1,0,22,1,1,4456.16,1,1,68,1,0,18,1,65,1,1,0,4,2,0,1
1,1,1,2,0,3673.78,0,0,92,1,1,19,1,65,0,0,0,1,1,0,1
0,2,18,0,2,9662.83,1,1,69,1,0,24,1,49,1,1,1,0,1,0,0
0,2,27,0,0,4456.16,0,1,56,1,0,9,0,51,1,0,0,2,0,0,1
0,0,10,2,0,5041.89,0,0,84,0,0,18,0,54,1,1,1,0,2,1,1
0,0,27,0,0,4780.17,1,0,53,1,1,16,1,58,1,0,1,2,2,1,1
